                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70822,                0.51174,                 1.1129,                0.94048,                0.95674,                 0.9841,                0.79077,                0.74779,                0.44293,                 1.1658,             0.00017125,             0.00017125,             0.00017125
                     36,                0.68558,                0.47311,                 1.1116,                0.95433,                0.95888,                0.98394,                0.79672,                0.74677,                0.44487,                 1.1526,              0.0001575,              0.0001575,              0.0001575
                     37,                0.67855,                0.44367,                 1.1017,                0.96546,                0.96246,                0.98542,                0.76654,                0.79904,                0.44562,                 1.1869,             0.00014375,             0.00014375,             0.00014375
                     38,                0.64833,                0.41612,                 1.0671,                0.94937,                0.95464,                0.98325,                0.78769,                0.75047,                0.44522,                 1.1637,                0.00013,                0.00013,                0.00013
                     39,                0.63685,                0.40996,                 1.0728,                0.96551,                0.95018,                0.98199,                0.80062,                 0.7387,                0.42097,                 1.1532,             0.00011625,             0.00011625,             0.00011625
                     40,                 0.6282,                0.40315,                 1.0675,                0.95627,                0.97084,                0.98629,                0.81843,                0.72641,                0.41191,                 1.1387,              0.0001025,              0.0001025,              0.0001025
                     41,                0.60126,                0.38823,                 1.0455,                0.95016,                0.97496,                 0.9846,                0.82322,                0.70908,                0.40642,                  1.122,              8.875e-05,              8.875e-05,              8.875e-05
                     42,                0.58759,                0.38341,                 1.0389,                0.95184,                0.96705,                0.98707,                0.82828,                0.70894,                0.39949,                 1.1314,                7.5e-05,                7.5e-05,                7.5e-05
                     43,                0.58864,                 0.3771,                 1.0384,                0.96494,                 0.9656,                0.98594,                0.82531,                0.70171,                0.40065,                 1.1186,              6.125e-05,              6.125e-05,              6.125e-05
                     44,                0.56049,                 0.3617,                  1.018,                0.95944,                 0.9606,                  0.984,                0.81557,                 0.7094,                0.39716,                 1.1216,               4.75e-05,               4.75e-05,               4.75e-05
                     45,                0.56077,                0.36673,                 1.0192,                 0.9602,                0.96724,                0.98615,                0.83252,                0.68351,                0.38388,                 1.1052,              3.375e-05,              3.375e-05,              3.375e-05
